epoch;accuracy;loss;val_accuracy;val_loss
0;0.59115535;1.2061144486693092;0.8709523677825928;40.1927843656994
1;0.8220339;0.548086837097136;0.932619035243988;23.43793993268694
2;0.9015233;0.3113436544690872;0.9540476202964783;17.202423847743443
3;0.9317477;0.21450687965301618;0.9750000238418579;11.28652745746431
4;0.9473656;0.166714599174197;0.9769047498703003;10.885109060378301
5;0.9561789;0.1396072787248482;0.9797618985176086;9.750474570138113
6;0.9615694;0.12136710813515587;0.9819047451019287;10.736035507747106
7;0.96519154;0.11167328161736058;0.9845238327980042;8.822952765964326
8;0.9673118;0.10277497187577268;0.9859523773193359;8.285141250973656
9;0.97082174;0.09124945890581217;0.9842857122421265;8.275382807822455
